Tracking ID,Cod Value,Creation Datetime,Delivery Success Datetime,Delivery Success Hub ID,From Address2,Granular Status,pickup hub id,To Address2,Shop Name,Rider Name
3151694848,1350000,05-07-2022 09:08,05-07-2022 09:45,199,Số 17 Lý Nam Đế,Completed,1187," , Quận Tân Phú , Hồ Chí Minh",0) Tiệm vải của Hạp),199-NEXT-NHP
3151694848,1350000,05-07-2022 09:08,09-07-2022 15:22,199,Số 17 Lý Nam Đế,Completed,1187," , Quận Tân Phú , Hồ Chí Minh",0) Tiệm vải của Hạp),199-NEXT-NHP
3902647296,842000,04-07-2022 14:42,08-07-2022 12:23,238,Số 17 Lý Nam Đế,Completed,1187," , Huyện Bình Chánh , Hồ Chí Minh",0) Tiệm vải của Hạp),238-NEXT-DH V
3902647296,842000,04-07-2022 14:42,08-07-2022 12:23,238,Số 17 Lý Nam Đế,Completed,187," , Huyện Bình Chánh , Hồ Chí Minh",0) Tiệm vải của Hạp),238-NEXT-DH V
2399924224,820000,02-07-2022 16:37,02-07-2022 16:50,120,Số 17 Lý Nam Đế,Completed,1187," , Quận 9 , Hồ Chí Minh",0) Tiệm vải của Hạp),103658-NEXT-T
2399924224,820000,02-07-2022 16:37,08-07-2022 13:20,120,Số 17 Lý Nam Đế,Completed,1187," , Quận 9 , Hồ Chí Minh",0) Tiệm vải của Hạp),103658-NEXT-T
2924165120,993000,06-07-2022 09:24,07-07-2022 11:42,147," , Phường 16 , Quận 8 , Thành phố Hồ Chí Minh",Completed,12," , Phường Tân Kiểng , Quận 7 , Thành phố Hồ Chí Minh",SFC(RTS00) Lani Shop,147-NEXT-NM Q
2924165120,993000,06-07-2022 09:24,07-07-2022 11:42,147," , Phường 16 , Quận 8 , Thành phố Hồ Chí Minh",Completed,12," , Phường Tân Kiểng , Quận 7 , Thành phố Hồ Chí Minh",SFC(RTS00) Lani Shop,147-NEXT-NM Q
4745040896,954000,01-07-2022 19:22,04-07-2022 11:12,112," , Phường 16 , Quận 8 , Thành phố Hồ Chí Minh",Completed,12," , Phường 15 , Quận Bình Thạnh , Thành phố Hồ Chí Minh",SFC(RTS00) Lani Shop,112-NEXT-ND T
4745040896,954000,01-07-2022 19:22,01-07-2022 20:52,112," , Phường 16 , Quận 8 , Thành phố Hồ Chí Minh",Completed,12," , Phường 15 , Quận Bình Thạnh , Thành phố Hồ Chí Minh",SFC(RTS00) Lani Shop,112-NEXT-ND T
300059648,903000,08-07-2022 01:17,09-07-2022 12:16,120," , Phường 16 , Quận 8 , Thành phố Hồ Chí Minh",Completed,203," , Phường Tăng Nhơn Phú A , Thành phố Thủ Đức , Thành phố Hồ Chí Minh",SFC(RTS00) Lani Shop,130-NEXT-NV N
300059648,903000,08-07-2022 01:17,09-07-2022 12:16,120," , Phường 16 , Quận 8 , Thành phố Hồ Chí Minh",Completed,203," , Phường Tăng Nhơn Phú A , Thành phố Thủ Đức , Thành phố Hồ Chí Minh",SFC(RTS00) Lani Shop,130-NEXT-NV N
3785408512,1054000,02-07-2022 15:19,02-07-2022 15:50,1239," , Phường 15 , Quận 10 , Thành phố Hồ Chí Minh",Completed,116," , Phường 13 , Quận Tân Bình , Thành phố Hồ Chí Minh",) Cô Hương Boutique),1239-NEXT-PT
3785408512,1054000,02-07-2022 15:19,03-07-2022 10:00,1239," , Phường 15 , Quận 10 , Thành phố Hồ Chí Minh",Completed,116," , Phường 13 , Quận Tân Bình , Thành phố Hồ Chí Minh",) Cô Hương Boutique),1239-NEXT-PT
Y050722025,1877000,04-07-2022 20:47,08-07-2022 15:52,823,,Completed,259,,DRS-tranthuymienbac),823-NEXT-DP L
Y050722025,1877000,04-07-2022 20:47,08-07-2022 15:52,823,,Completed,259,,DRS-tranthuymienbac),823-NEXT-DP L
Y030722036,1675000,02-07-2022 22:38,05-07-2022 13:17,223,,Completed,259,,DRS-tranthuymienbac),823-NEXT-DP L
Y030722036,1675000,02-07-2022 22:38,05-07-2022 13:17,823,,Completed,259,,DRS-tranthuymienbac),823-NEXT-DP L
9433816064,1180000,03-07-2022 12:25,07-07-2022 10:47,1239," , Phường Hoàng Liệt , Quận Hoàng Mai , Thành phố Hà Nội",Completed,1232," , Phường 04 , Quận Tân Bình , Thành phố Hồ Chí Minh",RS-Shop Nhâm Hà Nội),1239-NEXT-DVH
9433816064,1180000,03-07-2022 12:25,07-07-2022 10:47,1239," , Phường Hoàng Liệt , Quận Hoàng Mai , Thành phố Hà Nội",Completed,1232," , Phường 04 , Quận Tân Bình , Thành phố Hồ Chí Minh",RS-Shop Nhâm Hà Nội),1239-NEXT-DVH
7077269504,1170000,03-07-2022 12:23,07-07-2022 12:36,1236," , Phường Hoàng Liệt , Quận Hoàng Mai , Thành phố Hà Nội",Completed,1232," , Phường 01 , Quận 5 , Thành phố Hồ Chí Minh",RS-Shop Nhâm Hà Nội),1236-NEXT-VHN
